timeClose,close,volume,marketCap
2010-07-14T23:59:59.999Z,0.056,261.54,190259.65
2010-07-15T23:59:59.999Z,0.058,445.8,195982.14
2010-07-16T23:59:59.999Z,0.066,497.25,228047.42
2010-07-17T23:59:59.999Z,0.066,19.99,226904.8
2010-07-18T23:59:59.999Z,0.079,75.13,271669.2
2010-07-19T23:59:59.999Z,0.074,573.24,256302.41
2010-07-20T23:59:59.999Z,0.072,262.35,249313.13
2010-07-21T23:59:59.999Z,0.074,572.81,258512.82
2010-07-22T23:59:59.999Z,0.059,2167.06,205112.55
2010-07-23T23:59:59.999Z,0.063,2398.46,218826.51
2010-07-24T23:59:59.999Z,0.070,496.83,244352.06
2010-07-25T23:59:59.999Z,0.069,1555.03,242332.21
2010-07-26T23:59:59.999Z,0.063,876.44,221157.41
2010-07-27T23:59:59.999Z,0.068,3370.9,240347.17
2010-07-28T23:59:59.999Z,0.068,4386.99,240439.02
2010-07-29T23:59:59.999Z,0.064,8091.7,226457.71
2010-07-30T23:59:59.999Z,0.064,3013.58,226729.45
2010-07-31T23:59:59.999Z,0.070,4033.25,249124.55
2010-08-01T23:59:59.999Z,0.060,2595.17,216655.53
2010-08-02T23:59:59.999Z,0.060,3595.64,215716.5
2010-08-03T23:59:59.999Z,0.060,9856.36,216397.5
2010-08-04T23:59:59.999Z,0.060,3503.64,215975.01
2010-08-05T23:59:59.999Z,0.061,5016.59,220545.88
2010-08-06T23:59:59.999Z,0.062,1397.31,224830.82
2010-08-07T23:59:59.999Z,0.060,2625.28,217398.49
2010-08-08T23:59:59.999Z,0.061,2201.06,222388.2
2010-08-09T23:59:59.999Z,0.066,13620.25,242337.97
2010-08-10T23:59:59.999Z,0.066,1304.75,241390.5
2010-08-11T23:59:59.999Z,0.063,14095.69,233527.29
2010-08-12T23:59:59.999Z,0.061,2055.26,226013.55
2010-08-13T23:59:59.999Z,0.063,3601.97,233767.63
2010-08-14T23:59:59.999Z,0.063,4404.59,234424.72
2010-08-15T23:59:59.999Z,0.077,4462.17,288245.57
2010-08-16T23:59:59.999Z,0.095,10678.23,355444.75
2010-08-17T23:59:59.999Z,0.061,13207.49,229060.85
2010-08-18T23:59:59.999Z,0.068,2957.23,255298.94
2010-08-19T23:59:59.999Z,0.070,737.31,262947.51
2010-08-20T23:59:59.999Z,0.066,4171.63,248006.31
2010-08-21T23:59:59.999Z,0.068,10441.99,258335.14
2010-08-22T23:59:59.999Z,0.068,18735.84,256825.52
2010-08-23T23:59:59.999Z,0.067,4305.16,253754.79
2010-08-24T23:59:59.999Z,0.066,6698.65,251804.3
2010-08-25T23:59:59.999Z,0.068,4244.57,259758.76
2010-08-26T23:59:59.999Z,0.069,3870.7,266082.45
2010-08-27T23:59:59.999Z,0.066,8983.94,255192.98
2010-08-28T23:59:59.999Z,0.067,6132.59,256813.69
2010-08-29T23:59:59.999Z,0.060,3161.99,232664.99
2010-08-30T23:59:59.999Z,0.066,34120.32,255868.75
2010-08-31T23:59:59.999Z,0.068,14874,263444.8
2010-09-01T23:59:59.999Z,0.063,7184.24,243454.48
2010-09-02T23:59:59.999Z,0.063,8145.96,243393.16
2010-09-03T23:59:59.999Z,0.060,893.97,234657.09
2010-09-04T23:59:59.999Z,0.060,3298.27,234329.17
2010-09-05T23:59:59.999Z,0.060,8470.29,236368.65
2010-09-06T23:59:59.999Z,0.061,911.23,238377.05
2010-09-07T23:59:59.999Z,0.060,3455.8,237128.76
2010-09-08T23:59:59.999Z,0.060,2340.15,236659.38
2010-09-09T23:59:59.999Z,0.061,1736.18,238723.78
2010-09-10T23:59:59.999Z,0.060,4936.59,237951.54
2010-09-11T23:59:59.999Z,0.063,7687.5,251165.98
2010-09-12T23:59:59.999Z,0.060,795.76,238628.82
2010-09-13T23:59:59.999Z,0.061,10050.56,243147.48
2010-09-14T23:59:59.999Z,0.061,14066.33,242175.26
2010-09-15T23:59:59.999Z,0.080,3660.94,320437.68
2010-09-16T23:59:59.999Z,0.091,728.74,364395.76
2010-09-17T23:59:59.999Z,0.059,7282.76,237653.93
2010-09-18T23:59:59.999Z,0.061,7101.38,244712.14
2010-09-19T23:59:59.999Z,0.060,12917.52,242886.85
2010-09-20T23:59:59.999Z,0.061,14317.24,245240.21
2010-09-21T23:59:59.999Z,0.060,5709.85,244028.53
2010-09-22T23:59:59.999Z,0.062,11538.45,250885.4
2010-09-23T23:59:59.999Z,0.061,15540.26,247402.51
2010-09-24T23:59:59.999Z,0.061,684.36,248820.96
2010-09-25T23:59:59.999Z,0.061,2151.86,248882.1
2010-09-26T23:59:59.999Z,0.061,12046.65,249667.4
2010-09-27T23:59:59.999Z,0.061,10723.37,251319.56
2010-09-28T23:59:59.999Z,0.061,7092.92,253063.91
2010-09-29T23:59:59.999Z,0.060,23481.6,249798.91
2010-09-30T23:59:59.999Z,0.062,7944.9,256697.68
2010-10-01T23:59:59.999Z,0.060,1720.37,251174.99
2010-10-02T23:59:59.999Z,0.060,13073.68,249940.92
2010-10-03T23:59:59.999Z,0.060,7177.04,251909.2
2010-10-04T23:59:59.999Z,0.061,33882.93,254420.83
2010-10-05T23:59:59.999Z,0.061,27480.57,254578.77
2010-10-06T23:59:59.999Z,0.063,33430.03,262450.81
2010-10-07T23:59:59.999Z,0.065,43702.18,274380.74
2010-10-08T23:59:59.999Z,0.080,138930.13,337470
2010-10-09T23:59:59.999Z,0.099,187441.33,416434.5
2010-10-10T23:59:59.999Z,0.114,50485.57,479655.79
2010-10-11T23:59:59.999Z,0.118,14122.2,497862.04
2010-10-12T23:59:59.999Z,0.119,25735.4,504224.93
2010-10-13T23:59:59.999Z,0.104,47485.45,443013.5
2010-10-14T23:59:59.999Z,0.101,37309.53,428652.11
2010-10-15T23:59:59.999Z,0.106,24754.25,453802.41
2010-10-16T23:59:59.999Z,0.102,6275.99,434714.87
2010-10-17T23:59:59.999Z,0.105,18151.31,452814.47
2010-10-18T23:59:59.999Z,0.101,25647.31,436638.41
2010-10-19T23:59:59.999Z,0.099,6231.45,427282.67
2010-10-20T23:59:59.999Z,0.099,31793.8,430256.01
2010-10-21T23:59:59.999Z,0.102,44828.67,442410.33
2010-10-22T23:59:59.999Z,0.110,34549.21,476944.92
2010-10-23T23:59:59.999Z,0.110,4400.43,478264.36
2010-10-24T23:59:59.999Z,0.127,13862.21,555211.38
2010-10-25T23:59:59.999Z,0.153,30310.09,670766.8
2010-10-26T23:59:59.999Z,0.155,19246.49,678212.61
2010-10-27T23:59:59.999Z,0.189,65607.97,832716.67
2010-10-28T23:59:59.999Z,0.174,21586.19,768083.06
2010-10-29T23:59:59.999Z,0.190,28684.04,840263.53
2010-10-30T23:59:59.999Z,0.194,26586.5,858518.63
2010-10-31T23:59:59.999Z,0.192,40275.4,852259.61
2010-11-01T23:59:59.999Z,0.196,21229.97,874080.4
2010-11-02T23:59:59.999Z,0.194,5852.75,865018.26
2010-11-03T23:59:59.999Z,0.197,61555.95,882385.94
2010-11-04T23:59:59.999Z,0.241,29652.78,1081436.56
2010-11-05T23:59:59.999Z,0.247,36664.92,1110001.31
2010-11-06T23:59:59.999Z,0.328,32714.61,1476306.83
2010-11-07T23:59:59.999Z,0.340,77155.12,1535141.8
2010-11-08T23:59:59.999Z,0.440,118305.71,1991752.38
2010-11-09T23:59:59.999Z,0.224,47863.28,1016356.41
2010-11-10T23:59:59.999Z,0.314,30260.67,1429549.38
2010-11-11T23:59:59.999Z,0.233,5021.77,1062478.56
